"","EdI category","Country","EdI","Incidence rate all cancers","Mortality rate all cancers"
"133","Very High","Chile",0.806,188.2,95
"134","Very High","Kazakhstan",0.816,163.6,108.8
"135","Very High","Hungary",0.826,353.4,155.1
"136","Very High","Russian Federation",0.83,217.2,118.7
"137","Very High","Bahrain",0.831,105.2,70
"138","Very High","Greece",0.836,273,109.3
"139","Very High","Italy",0.838,277,93.6
"140","Very High","Cyprus",0.839,242.1,106.1
"141","Very High","Brunei Darussalam",0.841,216.2,102.3
"142","Very High","Slovakia",0.846,291.2,140.8
"143","Very High","Latvia",0.85,297.4,129
"144","Very High","Malta",0.85,242.7,86.5
"145","Very High","Spain",0.852,259.4,92
"146","Very High","United Arab Emirates",0.852,105.9,58.3
"147","Very High","Poland",0.853,249.5,133.7
"148","Very High","Saudi Arabia",0.859,88.3,43.2
"149","Very High","Estonia",0.863,279.7,117.6
"150","Very High","Qatar",0.864,96.8,64.6
"151","Very High","Lithuania",0.867,280,128
"152","Very High","France",0.87,323,109.4
"153","Very High","Slovenia",0.874,296.8,116.6
"154","Very High","Israel",0.875,232.4,90.1
"155","Very High","Japan",0.875,246.4,85
"156","Very High","Republic of Korea",0.875,311.1,80.5
"157","Very High","Czechia",0.879,284.2,106.1
"158","Very High","Luxembourg",0.88,285.3,89.4
"159","Very High","Austria",0.887,235.1,96.1
"160","Very High","Finland",0.905,256.2,83.1
"161","Very High","United Kingdom of Great Britain and Northern Ireland",0.907,296.4,102.2
"162","Very High","Canada",0.908,285.5,92.2
"163","Very High","New Zealand",0.91,299.8,97
"164","Very High","Sweden",0.917,278.7,86.6
"165","Very High","Netherlands",0.919,302.8,109.5
"166","Very High","Singapore",0.919,245.8,117.4
"167","Very High","Belgium",0.928,322.5,102.7
"168","Very High","Switzerland",0.928,266.6,83.5
"169","Very High","United States of America",0.929,296.8,90.3
"170","Very High","Germany",0.934,285.6,103.9
"171","Very High","Iceland",0.937,245.5,91.1
"172","Very High","Denmark",0.941,323.6,114.1
"173","Very High","Norway",0.951,322.6,93.9
"174","Very High","Ireland",0.955,330.3,101.6
"175","Very High","Australia",0.989,320.5,90.6
